City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Kolkata,6/1/2019,36.25,69.53,3.74,17.79,20.47,4.15,0.4,2.88,26.32,23.57,76.04,6.68,76.0,Satisfactory
Bengaluru,11/30/2018,43.16,79.92,10.45,28.44,30.83,20.64,0.89,5.46,47.85,0.61,1.86,,94.0,Satisfactory
Bhopal,5/1/2020,32.01,107.92,1.67,11.74,7.69,14.71,0.43,12.13,74.3,,,,102.0,Moderate
Hyderabad,3/4/2015,,,3.6,17.44,21.04,,0.28,7.88,50.26,0.92,5.99,0.96,,
Ahmedabad,9/20/2017,,,,,,,,,,,,,,
Gurugram,2/8/2020,104.96,210.84,10.6,26.63,24.38,,1.6,8.15,52.62,2.0,6.0,,260.0,Poor
Ahmedabad,12/21/2016,,,,,,,,,,0.0,0.0,0.0,,
Aizawl,4/15/2020,40.72,48.87,11.4,0.51,15.65,30.38,0.42,5.71,0.72,1.55,2.05,,76.0,Satisfactory
Gurugram,12/6/2016,304.69,,7.74,10.15,,,,9.86,13.49,3.06,30.59,,419.0,Severe
Amaravati,11/17/2018,16.21,48.0,13.93,43.42,34.5,8.82,0.87,7.51,17.51,0.01,0.07,,64.0,Satisfactory
Ahmedabad,10/17/2018,109.11,,29.19,118.85,44.54,,29.19,94.22,60.25,3.87,21.26,7.16,558.0,Severe
Chennai,6/21/2016,42.3,,5.01,15.62,22.91,52.97,1.49,3.08,37.87,2.1,8.79,,89.0,Satisfactory
Patna,9/29/2017,37.5,,3.65,10.05,16.6,,0.04,4.2,,0.0,0.07,0.02,,
Patna,2/1/2016,239.65,,56.72,34.36,91.08,,2.02,6.88,9.28,0.47,1.25,0.99,458.0,Severe
Brajrajnagar,3/16/2019,82.61,151.14,12.99,15.82,25.51,42.63,2.81,7.71,6.92,0.0,,,116.0,Moderate
Visakhapatnam,5/5/2017,,,,,0.0,,0.0,,,0.0,0.0,0.0,,
Hyderabad,5/20/2016,29.56,53.7,8.71,19.21,19.22,39.66,0.6,3.26,32.38,0.18,0.69,0.12,92.0,Satisfactory
Mumbai,4/15/2017,,,,,,,0.0,,,0.0,0.0,0.0,,
Thiruvananthapuram,4/11/2018,19.23,38.12,2.67,9.67,7.21,4.63,0.95,6.59,62.71,,,,160.0,Moderate
Hyderabad,9/12/2016,30.49,69.68,11.8,59.25,20.74,16.75,0.28,12.54,15.39,0.08,1.34,5.74,65.0,Satisfactory
Ahmedabad,4/10/2020,30.73,78.56,4.36,28.65,17.23,,0.59,32.01,42.61,6.91,32.15,3.51,113.0,Moderate
Lucknow,8/30/2018,33.21,,13.04,28.0,28.2,26.06,0.74,5.59,8.75,0.05,0.19,,72.0,Satisfactory
Guwahati,3/21/2019,73.33,200.77,6.29,12.45,23.67,17.6,0.59,22.51,59.44,4.3,,,148.0,Moderate
Gurugram,12/4/2018,147.68,247.54,89.61,26.8,95.95,,1.0,20.13,40.43,0.0,0.0,,299.0,Poor
Jaipur,12/13/2018,42.72,80.8,10.7,38.22,36.73,17.55,0.97,8.75,34.36,0.77,4.01,,94.0,Satisfactory
Amaravati,11/12/2019,37.5,69.2,4.33,20.42,14.47,10.74,0.91,11.84,34.42,0.22,2.58,0.16,94.0,Satisfactory
Ahmedabad,5/11/2019,,,,,0.0,,,,,0.0,0.0,0.0,,
Hyderabad,11/3/2017,66.51,126.96,10.34,37.44,27.54,16.61,1.04,20.33,55.23,4.87,30.0,5.14,158.0,Moderate
Patna,7/8/2015,,,21.41,10.1,31.4,,1.35,5.97,12.53,0.3,1.96,0.79,,
Visakhapatnam,9/27/2019,35.29,116.42,90.84,35.82,89.98,4.86,1.27,36.42,13.48,6.79,18.05,8.06,131.0,Moderate
Thiruvananthapuram,11/12/2017,42.35,59.01,1.97,10.23,7.04,6.27,1.25,3.97,7.66,,,,72.0,Satisfactory
Gurugram,11/18/2018,124.15,200.83,79.49,37.57,87.59,,0.86,11.68,22.4,4.06,15.22,,295.0,Poor
Bengaluru,10/10/2016,18.96,72.83,6.87,26.66,4.02,15.09,0.85,4.12,14.68,0.32,0.97,,129.0,Moderate
Hyderabad,7/30/2018,26.02,84.97,5.11,25.61,17.39,25.84,0.32,6.79,17.7,0.73,3.83,0.53,87.0,Satisfactory
Hyderabad,2/2/2017,52.36,96.1,10.06,37.44,9.36,16.25,0.0,3.48,68.59,0.01,0.14,0.03,102.0,Moderate
Amritsar,3/24/2019,43.03,66.96,10.08,14.85,24.93,9.38,0.61,,15.38,4.77,2.18,12.22,71.0,Satisfactory
Coimbatore,2/1/2020,36.23,46.99,0.34,14.64,14.59,3.45,0.33,7.93,43.26,0.01,0.0,,74.0,Satisfactory
Patna,5/3/2019,36.0,,7.81,8.24,6.87,,0.47,45.04,34.61,1.3,14.76,4.83,84.0,Satisfactory
Hyderabad,2/15/2020,66.96,142.86,28.85,57.58,51.8,22.58,0.8,13.19,27.56,3.77,29.6,1.27,154.0,Moderate
Amritsar,5/16/2018,56.32,136.55,,8.27,,5.11,0.66,6.05,,,,,127.0,Moderate
Talcher,2/9/2018,172.05,381.02,48.0,45.34,93.33,10.19,2.62,,17.65,,,,321.0,Very Poor
Lucknow,4/22/2016,98.82,,3.8,42.45,4.22,,1.33,6.2,73.3,0.79,0.67,,225.0,Poor
Chennai,3/8/2020,21.85,25.97,7.54,6.21,13.11,89.9,0.62,6.52,21.36,0.92,0.0,,57.0,Satisfactory
Chennai,1/28/2018,71.53,,11.99,18.29,15.9,119.98,0.78,6.72,53.46,1.46,1.75,,165.0,Moderate
Delhi,2/17/2019,99.27,180.93,23.24,42.59,41.77,31.82,1.09,15.14,34.81,2.82,20.46,0.95,247.0,Poor
Bengaluru,2/14/2017,34.94,71.16,8.05,49.0,0.0,28.08,0.87,5.9,,,,,71.0,Satisfactory
Chennai,4/12/2015,75.82,,7.44,17.27,15.86,11.58,1.13,3.58,27.57,,,,157.0,Moderate
Lucknow,4/16/2018,85.99,,45.67,59.66,63.01,30.01,0.56,11.41,28.24,0.0,0.0,,180.0,Moderate
Ahmedabad,9/1/2018,34.44,,35.18,58.49,54.79,,35.18,85.34,,4.8,25.59,0.65,577.0,Severe
Brajrajnagar,11/14/2018,99.58,164.79,20.09,25.17,32.23,11.46,0.96,13.51,9.18,1.13,,,220.0,Poor
Delhi,3/13/2020,68.72,209.02,29.31,40.53,49.0,31.36,0.87,15.42,37.42,2.63,24.39,3.61,170.0,Moderate
Visakhapatnam,3/7/2020,14.16,36.93,1.94,16.21,10.19,13.02,0.72,8.37,12.72,1.97,5.09,1.29,45.0,Good
Guwahati,5/31/2019,26.04,44.89,6.58,18.76,30.9,6.2,0.54,16.06,54.01,0.28,,,79.0,Satisfactory
Amaravati,1/30/2019,47.81,99.22,5.98,65.34,39.69,17.61,1.02,26.84,36.53,0.03,0.08,0.15,111.0,Moderate
Jaipur,9/9/2017,29.31,141.03,4.7,29.37,,17.99,0.24,8.75,,0.0,0.48,,127.0,Moderate
Amritsar,5/11/2018,108.04,198.34,,8.24,,5.13,0.7,5.85,,,,,252.0,Poor
Hyderabad,8/2/2017,16.78,54.83,5.31,13.74,5.93,5.69,0.2,10.67,26.03,0.28,2.23,0.88,61.0,Satisfactory
Jaipur,2/20/2019,54.54,105.01,13.38,29.52,35.78,29.01,0.95,10.76,40.58,1.29,7.6,,124.0,Moderate
Bengaluru,1/5/2018,24.31,93.29,7.99,52.5,27.28,,1.04,5.34,51.89,,,,95.0,Satisfactory
Lucknow,7/16/2018,29.57,,10.58,27.09,22.15,22.87,1.02,5.74,50.48,0.0,0.05,,90.0,Satisfactory
Patna,4/21/2016,60.25,,30.21,10.8,40.99,,1.14,7.25,29.06,0.17,0.66,0.38,170.0,Moderate
Lucknow,3/2/2017,147.23,,43.63,33.49,,,2.1,6.82,40.72,3.44,9.34,,342.0,Very Poor
Patna,7/3/2019,28.36,,9.7,29.2,13.45,,1.29,39.41,37.78,1.28,7.85,6.32,91.0,Satisfactory
Jorapokhar,3/12/2019,87.37,166.13,9.54,10.19,,6.29,0.0,15.37,16.32,,,,176.0,Moderate
Visakhapatnam,10/18/2019,8.55,22.06,5.42,21.09,15.63,2.27,0.51,21.46,28.19,2.07,5.72,1.1,45.0,Good
Kochi,2/6/2020,45.35,96.72,84.08,33.31,76.55,10.04,1.2,13.44,8.84,,0.0,,95.0,Satisfactory
Bengaluru,12/5/2019,55.45,91.85,12.88,32.39,34.22,15.19,0.94,6.48,42.62,1.1,37.71,,87.0,Satisfactory
Ahmedabad,12/27/2018,80.14,,86.91,71.98,65.41,,86.91,64.7,47.86,4.09,32.31,6.99,1084.0,Severe
Amaravati,2/20/2020,49.1,74.88,2.17,12.98,8.68,17.4,0.44,17.74,49.28,0.31,0.67,0.14,77.0,Satisfactory
Delhi,1/7/2020,120.31,176.22,24.08,44.9,46.56,43.53,1.18,12.74,22.82,3.64,24.51,0.3,285.0,Poor
Delhi,2/21/2017,106.92,303.47,67.69,60.72,60.22,66.01,0.7,19.57,33.71,3.44,5.9,,310.0,Very Poor
Ahmedabad,12/14/2019,63.33,99.3,4.66,14.79,10.69,,4.66,29.4,24.07,,,,157.0,Moderate
Amritsar,2/15/2020,41.33,123.92,17.35,10.41,27.39,11.92,0.78,10.64,43.24,1.91,2.19,2.0,106.0,Moderate
Thiruvananthapuram,6/30/2017,14.91,36.71,1.89,5.98,4.71,,0.56,3.28,16.46,,,,45.0,Good
Mumbai,4/24/2016,,,,,27.17,,0.0,,,0.0,0.0,0.0,,
Bengaluru,6/9/2018,19.32,26.98,9.68,16.01,16.88,,0.96,5.35,15.82,0.06,0.56,,52.0,Satisfactory
Ahmedabad,12/24/2018,72.1,,11.61,94.32,28.91,,11.61,54.74,63.46,4.08,32.37,6.95,355.0,Very Poor
Lucknow,8/3/2019,41.9,,6.88,18.09,14.88,9.74,1.06,5.57,31.81,1.29,3.28,,108.0,Moderate
Brajrajnagar,5/21/2019,70.12,143.64,,,0.0,,0.0,,,0.0,,,114.0,Moderate
Ahmedabad,2/15/2020,73.04,136.02,24.78,67.15,51.25,,24.78,57.08,53.88,1.08,37.29,0.56,480.0,Severe
Delhi,8/24/2017,47.79,,34.6,45.26,6.63,23.83,0.0,,,0.25,0.0,,58.0,Satisfactory
Amritsar,4/22/2020,13.72,51.33,21.63,14.02,31.4,12.69,0.74,9.17,43.02,1.36,1.6,2.0,48.0,Good
Hyderabad,11/18/2018,19.06,50.4,7.14,29.19,20.29,9.77,0.43,4.63,18.99,1.2,8.96,0.72,57.0,Satisfactory
Lucknow,2/20/2016,109.4,,14.9,27.77,3.72,,1.36,4.91,46.03,1.29,0.96,,245.0,Poor
Visakhapatnam,9/5/2017,,,,,0.0,,0.0,,,0.0,0.0,0.0,,
Talcher,6/13/2020,,,,,,,,,,,,,,
Chandigarh,9/2/2019,13.62,87.4,8.15,4.28,12.15,0.78,0.55,10.12,45.86,3.42,0.33,4.15,,
Shillong,9/6/2019,8.32,16.12,1.23,3.55,1.44,3.65,0.29,4.93,18.72,0.32,1.37,,25.0,Good
Visakhapatnam,9/7/2017,,,,,0.0,,0.0,,,0.0,0.0,0.0,,
Amritsar,7/15/2018,21.47,41.26,9.76,9.43,19.19,7.59,,7.56,30.98,2.69,1.82,5.49,,
Kolkata,11/23/2019,110.7,222.67,54.7,69.34,123.61,31.07,1.36,18.3,41.56,30.02,44.8,5.23,234.0,Poor
Talcher,1/13/2020,174.63,371.73,,24.96,7.94,1.92,2.24,2.93,21.51,9.68,,,324.0,Very Poor
Ahmedabad,6/10/2016,,,,,,,,,,,,,,
Brajrajnagar,10/12/2019,28.89,57.42,5.87,10.42,9.17,34.73,2.02,9.01,4.42,1.2,,,104.0,Moderate
Guwahati,10/2/2019,19.97,41.61,11.06,6.86,25.51,1.98,0.48,13.63,17.54,0.0,,,30.0,Good
Brajrajnagar,7/31/2019,11.3,18.72,3.64,8.23,5.87,77.32,1.85,1.07,5.28,0.0,,,99.0,Satisfactory
Mumbai,5/23/2016,,,,,16.52,,0.0,,,0.0,0.0,0.0,,
Gurugram,10/16/2019,137.78,261.97,12.97,47.39,39.22,,2.27,1.9,50.6,2.0,5.98,,291.0,Poor
Chennai,3/16/2019,48.11,,25.6,24.86,40.11,40.38,0.71,13.08,29.95,0.0,0.45,,86.0,Satisfactory
Hyderabad,7/6/2019,15.95,38.56,1.88,8.82,5.39,5.7,0.39,3.28,19.48,0.2,1.44,0.37,42.0,Good
Ahmedabad,6/8/2015,44.75,,7.76,16.53,24.29,,7.76,9.89,8.07,0.0,0.0,0.0,191.0,Moderate
Jorapokhar,2/9/2019,64.5,116.84,9.27,10.22,,6.26,,,26.43,,,,203.0,Poor
Thiruvananthapuram,11/20/2019,22.23,43.29,10.09,17.41,17.46,12.84,1.01,9.3,28.4,,,,80.0,Satisfactory
Mumbai,11/3/2015,,,,,134.01,,0.0,,,,,,,
Ahmedabad,4/21/2017,,,,,,,,,,,,,,
Kolkata,4/19/2020,13.35,31.37,3.83,8.77,12.64,13.4,0.32,8.07,51.59,1.06,5.73,0.28,67.0,Satisfactory
Amritsar,12/18/2018,72.97,163.05,30.79,35.39,64.18,9.06,0.01,4.08,13.45,6.28,2.81,9.47,138.0,Moderate
Delhi,11/15/2018,98.53,175.95,29.85,47.83,51.99,49.76,1.29,15.03,32.95,4.17,39.67,1.54,251.0,Poor
Patna,4/1/2020,67.83,110.46,55.33,47.14,68.39,12.94,1.86,12.02,22.36,3.26,5.29,3.17,156.0,Moderate
Amaravati,5/19/2020,34.15,71.94,1.64,15.46,9.56,8.67,,10.28,51.22,0.14,1.45,,77.0,Satisfactory
Ahmedabad,5/13/2018,50.16,,13.86,28.17,24.09,,13.86,80.78,28.52,7.5,31.48,0.65,332.0,Very Poor
Amaravati,1/31/2018,68.53,147.48,8.28,61.52,39.46,19.74,0.04,23.68,37.99,0.18,5.11,0.11,134.0,Moderate
Patna,7/31/2016,53.0,,14.1,18.64,32.73,,1.02,1.68,9.54,0.16,0.71,0.39,93.0,Satisfactory
Ahmedabad,11/29/2015,,,,,,,,,,,,,,
Patna,6/8/2017,,,,,,,0.0,,,0.0,0.0,0.0,,
Chennai,12/12/2017,59.77,,15.54,23.37,20.09,132.96,0.31,6.1,28.49,0.48,1.99,,126.0,Moderate
Gurugram,8/29/2017,949.99,,26.31,28.34,,,0.92,7.44,29.91,0.0,0.0,,,
Delhi,3/24/2017,149.42,282.88,45.21,79.52,32.77,76.02,0.68,22.09,19.74,1.7,3.68,,359.0,Very Poor
Lucknow,2/25/2018,183.9,,9.7,31.02,26.11,47.51,0.87,14.64,94.71,0.66,0.61,,348.0,Very Poor
Kolkata,2/14/2019,195.34,345.73,70.98,145.21,165.88,62.5,1.99,23.53,31.43,5.83,9.88,,345.0,Very Poor
Hyderabad,2/3/2017,58.81,109.98,9.92,42.23,10.17,16.49,0.0,8.29,76.03,0.01,0.2,0.04,113.0,Moderate
Lucknow,7/6/2017,24.48,,9.65,21.06,,,1.26,3.59,14.5,0.63,2.6,,53.0,Satisfactory
Amritsar,10/29/2018,57.31,175.25,31.74,26.18,58.62,15.28,0.02,5.98,21.27,14.68,2.54,11.44,138.0,Moderate
Chennai,1/25/2016,46.84,,6.09,12.73,11.58,102.74,2.11,3.65,34.98,4.51,8.9,,153.0,Moderate
Mumbai,6/13/2017,,,,,,,0.0,,,0.0,0.0,0.0,,
Jaipur,8/23/2017,34.1,71.91,2.7,30.72,,16.55,0.69,8.82,21.75,0.0,0.27,,88.0,Satisfactory
Jorapokhar,9/16/2017,,,,,,,,,,,,,,
Brajrajnagar,4/23/2020,38.58,83.38,,,0.0,,0.37,4.62,,0.06,,,78.0,Satisfactory
Patna,5/26/2019,48.28,,7.69,5.97,6.21,,1.32,36.13,72.42,1.33,15.0,4.04,166.0,Moderate
Jaipur,6/11/2020,33.19,89.02,5.72,16.68,19.56,27.02,0.65,9.72,54.61,0.37,0.76,,92.0,Satisfactory
Kolkata,12/8/2019,76.4,163.09,69.99,53.73,121.73,29.94,1.13,16.61,25.83,28.49,40.12,5.14,201.0,Poor
Thiruvananthapuram,5/9/2020,15.85,39.05,26.69,11.5,35.24,26.23,0.58,5.46,26.44,,,,63.0,Satisfactory
Chennai,6/19/2017,50.48,,8.6,9.93,7.55,,0.07,4.91,29.2,0.0,0.0,,71.0,Satisfactory
Thiruvananthapuram,12/29/2019,45.06,72.67,10.38,27.49,23.01,9.93,2.26,9.3,44.11,,,,110.0,Moderate
Bengaluru,11/5/2018,23.98,90.86,11.81,28.89,32.92,15.31,1.03,6.14,21.7,0.39,1.77,,81.0,Satisfactory
Amritsar,5/22/2017,36.59,,13.41,15.23,,28.17,0.0,7.01,,5.88,,,56.0,Satisfactory
Lucknow,4/23/2017,122.7,,9.11,22.56,,,2.13,4.16,69.35,1.51,3.78,,278.0,Poor
Delhi,1/12/2020,207.23,325.36,90.44,59.91,113.97,48.65,2.26,12.35,32.47,5.53,39.19,1.56,352.0,Very Poor
Gurugram,10/21/2019,109.34,205.75,6.46,33.32,27.61,,2.1,2.1,42.63,2.0,6.01,,225.0,Poor
Lucknow,3/1/2020,66.13,,7.19,34.18,23.27,15.5,1.25,6.22,42.76,19.47,26.37,,148.0,Moderate
Hyderabad,9/9/2016,35.34,103.41,11.29,74.42,13.02,27.06,0.21,5.89,14.06,0.09,1.66,2.84,,
Ahmedabad,11/14/2015,,,,,,,,,,,,,,
Bengaluru,10/14/2017,32.61,44.65,10.09,28.07,15.1,26.16,0.48,4.64,9.9,1.41,2.03,,67.0,Satisfactory
Delhi,4/7/2015,66.09,95.81,7.57,24.47,30.04,29.78,7.29,8.34,43.23,1.89,4.65,1.89,262.0,Poor
Thiruvananthapuram,2/9/2020,36.14,60.54,7.77,18.42,16.08,11.37,0.95,10.59,51.13,,,,68.0,Satisfactory
Gurugram,3/7/2018,53.53,132.16,11.77,49.61,38.72,,1.02,1.66,82.67,,,,165.0,Moderate
Chennai,8/4/2016,32.44,,9.17,14.82,16.2,73.2,1.22,4.39,8.23,1.13,4.7,,100.0,Satisfactory
Bengaluru,7/7/2019,19.38,68.71,5.33,18.38,21.55,8.26,0.75,5.3,32.8,0.85,1.36,,69.0,Satisfactory
Delhi,3/7/2016,98.61,167.78,33.11,54.69,84.84,54.88,1.28,20.44,82.97,6.69,12.43,,218.0,Poor
Hyderabad,5/3/2016,40.37,87.52,5.33,35.95,27.93,30.58,0.71,3.05,34.06,0.46,3.22,0.43,116.0,Moderate
Gurugram,12/18/2019,93.92,188.12,13.45,28.71,29.15,,1.41,31.97,31.24,1.96,5.88,,168.0,Moderate
Gurugram,5/12/2016,75.08,,2.87,6.07,8.95,,1.34,2.88,42.03,,,,112.0,Moderate
Hyderabad,6/20/2015,26.82,,9.08,8.36,17.37,,0.64,9.14,15.62,,,,96.0,Satisfactory
Shillong,9/1/2019,8.89,14.37,1.31,3.52,1.3,3.63,0.23,5.76,29.69,0.1,0.73,,31.0,Good
Mumbai,6/7/2015,,,,,23.35,,0.0,,,0.0,0.0,0.0,,
Aizawl,3/24/2020,47.34,56.65,2.96,0.14,3.66,20.21,0.37,6.17,5.59,0.33,0.33,,66.0,Satisfactory
Amritsar,7/11/2018,28.48,46.52,9.4,10.06,19.46,7.42,0.47,7.25,30.39,0.63,2.06,3.95,81.0,Satisfactory
Lucknow,12/31/2019,244.22,,60.88,92.38,85.91,33.48,1.91,21.58,26.22,7.15,35.48,,350.0,Very Poor
Bengaluru,9/7/2017,9.57,100.44,14.26,30.93,0.0,24.37,0.7,5.62,12.5,1.37,1.83,,60.0,Satisfactory
Patna,1/20/2019,363.78,,20.84,10.18,14.79,,2.27,36.53,41.42,3.81,24.79,11.12,441.0,Severe
Gurugram,11/23/2017,129.69,,5.76,24.25,18.29,,4.81,,29.15,1.23,0.91,,305.0,Very Poor
Delhi,3/18/2018,82.15,173.07,18.88,31.72,41.03,30.32,1.2,17.22,45.83,0.93,2.17,0.0,177.0,Moderate
Lucknow,9/29/2016,26.86,,4.92,14.36,6.24,,1.72,3.63,16.5,0.26,0.16,,75.0,Satisfactory
Chandigarh,10/26/2019,104.11,150.29,12.26,6.84,13.52,6.22,0.82,10.29,18.17,3.0,6.19,0.9,231.0,Poor
Hyderabad,3/19/2018,48.07,92.55,4.21,41.03,25.09,17.35,0.83,5.87,48.04,2.48,4.69,1.37,93.0,Satisfactory
Jaipur,5/2/2019,73.33,186.04,12.57,28.55,35.71,21.4,0.9,13.99,75.58,1.07,5.43,,166.0,Moderate
Chennai,8/1/2018,50.78,,9.88,25.12,18.84,18.58,0.86,6.97,12.09,0.0,3.04,,80.0,Satisfactory
Patna,10/6/2017,49.56,,14.26,27.38,42.64,,0.37,5.25,26.31,0.05,0.41,0.17,,
Visakhapatnam,2/11/2019,59.05,124.13,3.08,28.13,17.47,12.39,0.68,4.38,65.86,1.2,2.11,0.17,126.0,Moderate
Bengaluru,10/3/2017,22.85,63.75,6.46,25.43,1.81,23.95,0.49,4.49,29.93,0.88,0.83,,62.0,Satisfactory
Kolkata,6/26/2018,30.5,46.08,1.27,37.12,38.33,3.19,0.38,2.29,34.84,2.05,4.41,,61.0,Satisfactory
Amaravati,4/9/2018,23.72,55.74,4.18,8.86,8.18,10.54,0.81,6.71,19.29,0.0,0.99,0.1,81.0,Satisfactory
Visakhapatnam,3/2/2020,52.8,104.45,3.24,43.27,24.56,17.49,1.24,9.08,17.61,4.44,9.25,2.75,,
Ahmedabad,4/7/2016,,,,,,,,,,,,,,
Lucknow,9/13/2018,39.92,,9.17,25.74,24.72,28.85,0.72,3.62,17.88,0.04,0.07,,76.0,Satisfactory
Mumbai,12/1/2015,,,,,86.6,,0.0,,,0.0,0.0,0.0,,
Amritsar,11/10/2017,137.47,260.49,38.12,21.68,56.14,33.64,2.0,7.71,23.6,4.8,12.76,26.69,295.0,Poor
Hyderabad,1/19/2018,61.1,139.54,10.99,56.03,38.21,22.32,0.9,17.29,38.71,3.88,33.75,6.24,129.0,Moderate
Delhi,1/23/2017,189.45,277.25,80.42,67.27,46.06,33.51,0.53,20.61,20.57,3.67,8.67,,379.0,Very Poor
Mumbai,12/20/2017,,,,,170.9,,0.0,,,0.0,0.0,0.0,,
Ahmedabad,2/27/2018,56.42,,35.02,152.62,100.58,,35.02,124.25,44.79,11.98,88.61,18.38,700.0,Severe
Bengaluru,4/17/2018,32.38,61.9,7.83,27.27,32.3,,0.87,2.74,,0.0,0.28,,70.0,Satisfactory
Gurugram,8/26/2018,43.06,,4.22,18.1,10.72,,0.46,5.25,18.76,0.47,,,75.0,Satisfactory
Bengaluru,10/24/2017,42.56,176.27,15.76,44.63,25.27,26.59,1.26,5.62,27.3,1.87,2.58,,94.0,Satisfactory
Talcher,6/11/2020,,,,,,,,,,,,,,
Shillong,5/23/2020,24.57,40.46,0.95,2.66,1.04,2.8,0.19,8.76,14.18,0.02,0.08,,28.0,Good
Chennai,6/16/2015,49.91,,3.95,13.37,14.54,53.49,1.85,8.31,39.99,70.96,15.55,,118.0,Moderate
Mumbai,4/30/2019,21.86,85.4,31.26,19.2,50.47,,1.84,24.52,18.42,0.33,,,96.0,Satisfactory
Brajrajnagar,3/7/2018,101.91,195.56,12.18,26.95,39.12,10.54,4.02,16.17,15.68,0.0,,,241.0,Poor
Amritsar,9/7/2018,,56.13,9.57,7.29,16.86,4.69,0.0,2.74,19.52,6.66,8.47,7.52,72.0,Satisfactory
Delhi,9/20/2019,40.33,106.47,13.55,31.73,30.32,24.91,0.95,10.81,29.76,2.22,22.21,0.28,96.0,Satisfactory
Brajrajnagar,2/21/2020,70.64,152.08,18.54,20.87,33.35,50.76,0.05,5.77,34.49,0.89,,,168.0,Moderate
Visakhapatnam,1/18/2020,42.17,81.73,4.4,25.01,16.89,10.84,1.03,8.03,45.73,3.42,4.56,0.86,79.0,Satisfactory
Brajrajnagar,8/10/2018,49.75,82.53,9.65,8.93,18.58,4.77,0.0,12.92,5.88,0.87,,,68.0,Satisfactory
Lucknow,10/9/2019,89.18,,14.22,25.94,25.38,36.06,1.36,4.46,31.29,2.57,10.33,,197.0,Moderate
Gurugram,12/8/2018,163.91,295.23,72.52,24.64,64.11,,0.8,21.53,17.24,0.0,0.0,,368.0,Very Poor
Chennai,7/8/2019,51.95,,7.68,17.93,25.5,36.57,0.82,4.21,23.93,0.19,0.31,,88.0,Satisfactory
Mumbai,12/4/2018,65.54,187.09,54.68,60.53,115.22,,2.42,14.82,65.87,1.87,,,168.0,Moderate
Patna,11/28/2018,161.01,,36.53,27.72,32.01,,2.32,50.93,,3.78,26.09,19.45,326.0,Very Poor
Mumbai,10/27/2015,,,,,82.3,,0.0,,,0.0,0.0,0.0,,
Bengaluru,4/2/2015,38.15,,4.24,10.29,9.99,43.09,4.06,7.65,53.26,0.14,5.29,,123.0,Moderate
Ahmedabad,3/8/2019,54.11,,48.38,54.45,38.8,,48.38,45.55,41.35,4.15,32.45,7.1,754.0,Severe
Chandigarh,5/25/2020,26.31,79.69,2.96,4.43,9.78,24.84,0.45,14.61,45.71,3.41,0.23,0.75,91.0,Satisfactory
Gurugram,2/10/2019,98.01,221.36,54.58,191.83,166.07,,0.76,6.11,25.86,0.0,0.0,,113.0,Moderate
Visakhapatnam,6/9/2017,,,,,0.0,,0.0,,,0.0,0.0,0.0,,
Hyderabad,7/20/2019,20.12,38.84,2.58,13.94,8.86,14.52,0.43,5.41,30.44,0.55,3.96,0.22,64.0,Satisfactory
Mumbai,4/5/2016,,,,,20.59,,0.0,,,0.0,0.0,0.0,,
Bengaluru,6/23/2015,17.47,,1.74,7.27,4.01,10.32,2.08,7.51,10.97,0.12,1.56,,107.0,Moderate
Bengaluru,6/30/2018,18.23,65.8,32.78,33.04,38.97,26.36,1.0,6.63,10.67,0.88,2.0,,66.0,Satisfactory
Gurugram,2/3/2018,116.74,247.25,28.41,22.73,43.2,,1.48,7.93,26.56,,,,279.0,Poor
Patna,3/31/2017,106.36,,2.12,2.97,5.09,,1.2,4.21,12.5,0.09,0.5,0.17,199.0,Moderate
Thiruvananthapuram,12/29/2018,52.06,85.51,2.61,7.55,5.8,5.14,5.59,18.01,56.83,,,,156.0,Moderate
Patna,4/19/2019,43.79,,5.44,13.6,6.83,,1.08,38.93,119.27,1.1,13.55,4.84,187.0,Moderate
Chennai,3/10/2020,27.37,41.72,10.26,10.56,20.54,80.22,0.55,5.51,27.37,0.78,0.0,,61.0,Satisfactory
Brajrajnagar,8/21/2018,18.22,26.34,4.28,7.29,11.58,3.85,0.03,12.58,5.99,0.11,,,38.0,Good
Ahmedabad,7/9/2015,46.69,,11.48,0.17,11.64,,11.48,10.25,5.76,1.77,4.34,0.15,222.0,Poor
Chandigarh,2/21/2020,17.74,36.33,5.72,19.61,14.1,51.13,0.58,11.11,8.22,4.37,0.12,2.94,72.0,Satisfactory
Amaravati,10/9/2019,27.63,44.01,3.3,11.48,8.92,17.92,0.89,18.89,31.23,0.15,1.48,0.26,78.0,Satisfactory
Kochi,5/22/2020,12.14,22.3,75.45,20.6,79.17,14.97,1.37,12.26,1.03,,0.0,,97.0,Satisfactory
Bhopal,3/25/2020,23.88,71.03,1.61,9.83,6.62,20.97,0.37,12.78,64.94,,,,96.0,Satisfactory
Amritsar,10/9/2017,52.15,168.17,4.99,14.12,33.6,51.42,0.25,3.01,20.02,2.07,2.7,6.65,,
Ahmedabad,5/29/2020,23.91,81.0,3.29,18.6,11.52,,0.57,,44.9,5.47,15.33,1.37,126.0,Moderate
Jorapokhar,12/21/2017,,147.58,10.7,10.67,,6.97,0.35,37.13,92.07,,,,158.0,Moderate
Hyderabad,11/11/2015,85.48,115.5,11.75,17.0,24.91,11.96,0.78,13.68,38.48,0.75,5.2,0.1,135.0,Moderate
